scan_id,domain,hostname,ip,port,service_name,service_version,protocol,subdomain,vulnerability_name,vulnerability_severity,vulnerability_cve,timestamp
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshieldbackend.zeroshield.ai,13.203.233.15,25,smtp,unknown,tcp,complianceshieldbackend.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshieldbackend.zeroshield.ai,13.203.233.15,53,domain,unknown,tcp,complianceshieldbackend.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshieldbackend.zeroshield.ai,13.203.233.15,80,http,nginx 1.28.0,tcp,complianceshieldbackend.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshieldbackend.zeroshield.ai,13.203.233.15,110,pop3,unknown,tcp,complianceshieldbackend.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshieldbackend.zeroshield.ai,13.203.233.15,143,imap,unknown,tcp,complianceshieldbackend.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshieldbackend.zeroshield.ai,13.203.233.15,443,http,nginx 1.28.0,tcp,complianceshieldbackend.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshieldbackend.zeroshield.ai,13.203.233.15,993,imaps,unknown,tcp,complianceshieldbackend.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshieldbackend.zeroshield.ai,13.203.233.15,995,pop3s,unknown,tcp,complianceshieldbackend.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshieldbackend.zeroshield.ai,13.203.233.15,3306,mysql,unknown,tcp,complianceshieldbackend.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshieldbackend.zeroshield.ai,13.203.233.15,3389,ms-wbt-server,unknown,tcp,complianceshieldbackend.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshieldbackend.zeroshield.ai,13.203.233.15,5432,postgresql,PostgreSQL DB 9.6.0 or later,tcp,complianceshieldbackend.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,complianceshieldbackend.zeroshield.ai,13.203.233.15,8080,http,Uvicorn,tcp,complianceshieldbackend.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,threatshield.zeroshield.ai,13.203.233.15,21,ftp,unknown,tcp,threatshield.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,threatshield.zeroshield.ai,13.203.233.15,22,ssh,OpenSSH 8.7,tcp,threatshield.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,threatshield.zeroshield.ai,13.203.233.15,25,smtp,unknown,tcp,threatshield.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,threatshield.zeroshield.ai,13.203.233.15,53,domain,unknown,tcp,threatshield.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,threatshield.zeroshield.ai,13.203.233.15,80,http,nginx 1.28.0,tcp,threatshield.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,threatshield.zeroshield.ai,13.203.233.15,110,pop3,unknown,tcp,threatshield.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,threatshield.zeroshield.ai,13.203.233.15,143,imap,unknown,tcp,threatshield.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,threatshield.zeroshield.ai,13.203.233.15,443,http,nginx 1.28.0,tcp,threatshield.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,threatshield.zeroshield.ai,13.203.233.15,993,imaps,unknown,tcp,threatshield.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,threatshield.zeroshield.ai,13.203.233.15,995,pop3s,unknown,tcp,threatshield.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,threatshield.zeroshield.ai,13.203.233.15,3306,mysql,unknown,tcp,threatshield.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,threatshield.zeroshield.ai,13.203.233.15,3389,ms-wbt-server,unknown,tcp,threatshield.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,threatshield.zeroshield.ai,13.203.233.15,5432,postgresql,PostgreSQL DB 9.6.0 or later,tcp,threatshield.zeroshield.ai,,,,2025-12-09T12:05:54.799151
scan-fadca622-ecc1-4b78-9077-aff1de44c0d2,zeroshield.ai,threatshield.zeroshield.ai,13.203.233.15,8080,http,Uvicorn,tcp,threatshield.zeroshield.ai,,,,2025-12-09T12:05:54.799151
